AirDensity, kg/m^3
AirTemp, C
FogLevel, %
RelativeHumidity, %
TrackTemp, C
LFwearL, %
LFwearM, %
LFwearR, %
LFtempL, C
LFtempM, C
LFtempR, C
LFcoldPressure, kPa
LFpressure, kPa
LRwearL, %
LRwearM, %
LRwearR, %
LRtempL, C
LRtempM, C
LRtempR, C
LRcoldPressure, kPa
LRpressure, kPa
RFwearL, %
RFwearM, %
RFwearR, %
RFtempL, C
RFtempM, C
RFtempR, C
RFcoldPressure, kPa
RFpressure, kPa
RRwearL, %
RRwearM, %
RRwearR, %
RRtempL, C
RRtempM, C
RRtempR, C
RRcoldPressure, kPa
RRpressure, kPa
LapDeltaToBestLap, s
LapBestLapTime, s
LapDist, m
Clutch, %
Brake, %
Throttle, %
Gear, int
FuelLevel, l
FuelUsePerHour, kg/h
RPM, rpm
Speed, m/s
SteeringWheelAngle, rad
