AirTemp, C
AirDensity, kg/m^3
LapBestNLapLap, boolean
LFwearL, %
Alt, m
LFtempM, C
LFpressure, kPa
AirPressure, mmHg
LapDeltaToBestLap, s
LRtempM, C
Clutch, %
Brake, %
CFSRrideHeight, m
BrakeRaw, %
LFtempL, C
LapDeltaToBestLap_OK, boolean
CpuUsageBG, %
LFTiresUsed, boolean
IsOnTrack, boolean
FastRepairAvailable, boolean
LRtempR, C
DriverMarker, boolean
Lap, int
dpFuelAddKg, kg
LapBestNLapTime, s
EngineWarnings, irsdk_EngineWarnings
EnterExitReset, boolean
FastRepairUsed, boolean
FogLevel, %
LFbrakeLinePress, bar
FrameRate, fps
LFtempCL, C
SessionFlags, irsdk_Flags
FrontTireSetsAvailable, boolean
Gear, boolean
LFshockDefl, m
FrontTireSetsUsed, boolean
TireRR_RumblePitch, Hz
LapBestLap, boolean
FuelLevel, l
LRwearL, %
LRpressure, kPa
RFcoldPressure, kPa
FuelLevelPct, %
RRcoldPressure, kPa
LFtempCR, C
FuelPress, bar
FuelUsePerHour, kg/h
LRwearM, %
HandbrakeRaw, %
IsOnTrackCar, boolean
LFTiresAvailable, boolean
LRtempCM, C
LRspeed, m/s
LRshockVel, m/s
LFcoldPressure, kPa
LFrideHeight, m
LFshockVel, m/s
LRtempCL, C
LFspeed, m/s
LFtempCM, C
LFtempR, C
RightTireSetsUsed, boolean
LFwearM, %
LFwearR, %
LRTiresAvailable, boolean
RRTiresAvailable, boolean
LRTiresUsed, boolean
LRbrakeLinePress, bar
SteeringWheelAngleMax, rad
LRcoldpressure, kPa
LRrideHeight, m
YawRate, rad/s
LRshockDefl, m
LRtempCR, C
LRtempL, C
SteeringWheelPctTorque, %
LRwearR, %
LapBestLapTime, s
PitOptRepairLeft, s
LapCompleted, boolean
LapCurrentLapTime, s
dcTractionControl, boolean
LapDeltaToSessionBestLap_OK, boolean
LapDeltaToBestLap_DD, s/s
LapDeltaToOptimalLap, s
LapDeltaToOptimalLap_DD, s/s
LapDeltaToOptimalLap_OK, boolean
LapDist, m
LapDeltaToSessionBestLap, s
LapDeltaToSessionBestLap_DD, s/s
WaterLevel, l
LapDeltaToSessionLastlLap, s
LapDeltaToSessionLastlLap_DD, s/s
Voltage, V
LapDeltaToSessionLastlLap_OK, boolean
LapDeltaToSessionOptimalLap, s
dpPowerSteering, boolean
PlayerCarPosition, boolean
PlayerCarClassPosition, boolean
PitSvRFP, kPa
LapDeltaToSessionOptimalLap_DD, s/s
LapDeltaToSessionOptimalLap_OK, boolean
LapDistPct, %
SteeringWheelPctTorqueSignStops, %
RRshockVel, m/s
LapLasNLapSeq, boolean
LapLastLapTime, s
LapLastNLapTime, s
Roll, rad
Lat, deg
LatAccel, G
LeftTireSetsAvailable, boolean
RRtempM, C
LeftTireSetsUsed, boolean
SessionTime, s
PitRepairLeft, boolean
Lon, deg
PlayerCarMyIncidentCount, boolean
LongAccel, G
ManifoldPress, bar
RFtempCR, C
ManualBoost, boolean
ManualNoBoost, boolean
OilLevel, l
OilPress, bar
OilTemp, C
SessionTimeOfDay, s
OnPitRoad, boolean
PaceMode, irsdk_PaceMode
PitSvFlags, irsdk_PitSvFlags
PitSvLRP, kPa
PitSvFuel, l
PitSvLFP, kPa
RightTireSetsAvailable, boolean
PitSvRRP, kPa
Pitch, rad
dpRRTireChange, boolean
PitchRate, rad/s
PitsOpen, boolean
PlayerCarTeamIncidentCount, boolean
PitstopActive, boolean
TireSetsAvailable, boolean
PlayerCarDriverIncidentCount, boolean
PlayerCarDryTireSetLimit, boolean
PlayerCarIdx, boolean
PlayerCarPowerAdjust, %
PlayerCarInPitStall, boolean
RFshockDefl, m
PlayerCarPitSvStatus, irsdk_PitSvStatus
PlayerCarTowTime, s
PlayerCarWeightPenalty, kg
dpFastRepair, boolean
PlayerTrackSurface, irsdk_TrkLoc
PlayerTrackSurfaceMaterial, irsdk_TrkSurf
PushToPass, boolean
RFTiresAvailable, boolean
RFTiresUsed, boolean
RFbrakeLinePress, bar
RFpressure, kPa
RFrideHeight, m
RFshockVel, m/s
RFspeed, m/s
RFtempCL, C
RFtempCM, C
RFtempL, C
RFtempM, C
RFtempR, C
RFwearL, %
RFwearM, %
RFwearR, %
RPM, rpm
RRTiresUsed, boolean
RRbrakeLinePress, bar
dpLRTireColdPress, Pa
RRpressure, kPa
RRrideHeight, m
RRshockDefl, m
RRspeed, m/s
RRtempCL, C
RRtempCM, C
WindVel, m/s
RRtempCR, C
RRtempL, C
RRtempR, C
RRwearL, %
dpLRTireChange, boolean
RRwearM, %
RRwearR, %
RearTireSetsAvailable, boolean
RearTireSetsUsed, boolean
RelativeHumidity, %
RollRate, rad/s
SessionLapsRemain, boolean
SessionLapsRemainEx, boolean
SessionNum, boolean
SessionState, irsdk_SessionState
SessionTick, boolean
SessionTimeRemain, s
SessionUniqueID, boolean
ShiftGrindRPM, RPM
ShiftIndicatorPct, %
ShiftPowerPct, %
Skies, boolean
Speed, m/s
dpFuelFill, boolean
SteeringWheelAngle, rad
SteeringWheelPctDamper, %
SteeringWheelPctTorqueSign, %
SteeringWheelTorque, Nm
Throttle, %
ThrottleRaw, %
TireLF_RumblePitch, Hz
TireLR_RumblePitch, Hz
TireRF_RumblePitch, Hz
TireSetsUsed, boolean
TrackTemp, C
TrackTempCrew, C
VelocityX, m/s
VelocityY, m/s
VelocityZ, m/s
VertAccel, G
WaterTemp, C
WeatherType, boolean
WindDir, rad
Yaw, rad
YawNorth, rad
dcBrakeBias, boolean
dcDashPage, boolean
dcPitSpeedLimiterToggle, boolean
dcHeadlightFlash, boolean
dcStarter, boolean
dcTractionControl2, boolean
dcTractionControlToggle, boolean
dpLFTireChange, boolean
dpLFTireColdPress, Pa
dpRFTireChange, boolean
dpRFTireColdPress, Pa
dpRRTireColdPress, Pa
dpWindshieldTearoff, boolean
